Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Bashful Beauty,New Quantity Bashful Beauty,Stock Alert Enabled Bashful Beauty,Stock Alert Count Bashful Beauty,Tax - Sales Tax (8.25%)
FZUY74XZISS5UEC5D2FZRUOT,At home facial kit,Regular,,,Circadia,Circadia,,,,,,Physical good,,,,Y,,,,50.00,,N,,,,N,,,0,,,,Y
I7WNVKOJ3LKYNFLLVH2RDYNQ,BB Concealer,Regular,,,Lira Clinical,Lira Clinical,,,,,visible,Physical good,,,,Y,,,Y,38.00,,N,,,,N,,,,,,,Y
HACXIKJFVONLTNE7XIUDHE66,BB Cream Foundation,Regular,,,Lira Clinical,Lira Clinical,,,,,visible,Physical good,,,,Y,,,Y,66.50,,N,,,,N,,,,,,,Y
KKC727K4BLM73RPJLLLQCLSL,BDB  on Point Pencil TAUPE,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,N,N,Y,16.50,,N,,,,N,,,0,,Y,4,Y
N6BOE3SENFDWVQY7SBIPAHA6,BDB Beauty Blender Sponge,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,,Physical good,,,,Y,N,N,N,9.00,,N,,,,N,,,7,,Y,2,Y
G6QGNESZCKALXNY6NWWFXFUL,BDB Brow Butter Pomade kit BLONDE,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,N,N,Y,20.00,,N,,N,,N,,,6,,Y,1,Y
6C3NXL4CZW2AWYYRQBXMPWHC,BDB Brow Butter Pomade kit TAUPE,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,N,N,Y,20.00,,N,,N,,N,,,1,,Y,1,Y
HQC3WPAYRDKCFFAE5DWBSD2N,BDB Brow Duo Highlighter Pencil,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,N,N,Y,18.00,,N,,N,,N,,,6,,Y,4,Y
E7C527GJDBZ6FK3TZ5RJP7RW,BDB Brow Powder BLONDE,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,,,Y,18.00,,N,,,,N,,,1,,Y,2,Y
54NX6EWXECUL7J2FX6GTGMGL,BDB Brow Powder LIGHT BROWN,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,,,Y,18.00,,N,,,,N,,,3,,Y,2,Y
US2EJFUIPXSXHPIZTFJV4R4W,BDB Brow Powder RAVEN,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,,,Y,18.00,,N,,,,N,,,4,,Y,2,Y
K33YW4XKM562QDEJ7GGCXAPS,BDB Brow Powder TAUPE,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,N,N,Y,18.00,,N,,,,N,,,2,,Y,2,Y
K4NHLLASFZPHY5YF4JNIGTOS,BDB Concealer Brush,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,,,Y,14.00,,N,,,,N,,,,,,,Y
PUKX5UPSBWAX6BCKN5GIBY72,BDB Dual Pencil Sharpener,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,,,Y,8.00,,N,,,,N,,,8,,Y,2,Y
TBJ6HOKDLYABWVYGCJFFEG6F,BDB Foundation Brush,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,,,Y,18.00,,N,,,,N,,,,,,,Y
MG3F72VUNJ5EMUQPXVOHNMCT,BDB Infused Illuminator Gold,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,,,Y,18.00,,N,,,,N,,,3,,Y,2,Y
2ZH65JASG477GHKPMQIC375V,BDB Jetsetter Kit Brow Shaping,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,,,Y,15.00,,N,,,,N,,,,,,,Y
M5G6RULX2FMNHS65JYF45J36,BDB Microblade brow pen,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,,,Y,18.00,,N,,,,N,,,,,,,Y
2HQUESOGCHQ7EVJ33ROKNB4G,BDB Nordic Brow Pencil,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,,,Y,18.00,,N,,,,N,,,1,,Y,2,Y
OW4T2PHLOGSEKDYXJKUQIXYQ,BDB Powder Brush,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,,,Y,24.00,,N,,,,N,,,,,,,Y
3VG4JW2XSY74FEKHJTRSGA6P,BDB Universal Brow Pencil,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,N,N,Y,18.00,,N,,,,N,,,3,,Y,4,Y
KQAUH2VVJWXQNQ2GH5M45G4M,BDB on Point Pencil BLONDE,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,,N,Y,16.50,,N,,,,N,,,4,,Y,1,Y
NSDWLFPZBPMXHX35NRTMPOO5,BDB on Point pencil RAVEN,Regular,,,Billion Dollar Brows,Billion Dollar Brows,,,,,visible,Physical good,,,,Y,,N,Y,16.50,,N,,,,N,,,4,,Y,4,Y
PRM4CAUZWEY5ZVT46DKKLIME,Bath Bombs,Single Bomb,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,N,N,Y,3.50,,N,,,,N,,,,,,,Y
VE54OJIZQEAVIE6JLKGKASL7,Bath Bombs,3 for $10,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,,,,,10.00,,N,,,,N,,,,,,,Y
H76K5ET7XDW6PEVEX7JRATET,Bath Bombs,Rosemary Mint CBD Bomb,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,,,,,15.00,,N,,,,N,,,,,,,Y
NZK56LGOFVEEDKOFT2INA6OY,Beach Punch Lip Polish,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,,N,Y,15.50,,N,,,,N,,,0,,Y,3,Y
HK3D52KKG3VTZT24HRYQSMOS,Berry Blue Lip Therapy,Regular,,,Farm House Fresh,Farm House Fresh,,,,,unavailable,Physical good,,,,Y,N,N,N,23.50,,N,,,,N,,,1,,,,Y
BQARFLERBJI27VCVIMUBAUIB,Berry Supreme Gleam Radiance Mask FHF,Regular,,,Farm House Fresh,Farm House Fresh,,,,,,Physical good,,,,Y,N,N,N,37.00,,N,,,,N,,,-1,,,,Y
OEUCGTLTECMP4EGPJAO7U2K4,Big Bare Body Polish,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,,N,Y,49.00,,N,,,,N,,,,,,,Y
2VLTGUOITRIH4XDBW3DW4GGN,Blackberry Wine Lip Polish,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,,N,Y,15.50,,N,,,,N,,,0,,Y,3,Y
INWOUAPO4QRDHQ5B2QV4N25Y,Blissed Moon Dip,Regular,,,Farm House Fresh,Farm House Fresh,,,,,,Physical good,,,,Y,,,,37.00,,N,,,,N,,,-1,,Y,1,Y
NEWHDMXK25AAH5UF5UTGEVV4,Blue Bamboo Exfoliator for Body,Regular,,,Circadia,Circadia,,,,,visible,Physical good,,,,Y,,,Y,40.00,,N,,,,N,,,0,,,,Y
TPJOHGZ6REPCE6F2JCCL6E3R,Blueberry & White Tea Hydrating Mist,Regular,,,Circadia,Circadia,,,,,visible,Physical good,,,,Y,N,N,Y,30.00,,N,,,,N,,,7,,Y,4,Y
OVPI45R53TDYZS72IDI6QEKC,Blueberry Chai Bar Soap,Regular,,,Farm House Fresh,Farm House Fresh,,,,,,Physical good,,,,Y,,,,12.50,,N,,,,N,,,0,,Y,2,Y
YV3B4INGOPNGKBAP5SEN2TLO,Bluephoria,Regular,,"A silky, cooling leave-on face mask that absorbs deep into the skin to reveal a soft, supple, luminous complexion.",Farm House Fresh,Farm House Fresh,,,,,unavailable,Physical good,,,,Y,,,,59.50,,N,,,,N,,,0,,,,Y
CBP77GDXJDY5IJHQIDL3A5FX,Bluephoria Face Mask,Regular,,,Farm House Fresh,Farm House Fresh,,,,,unavailable,Physical good,,,,Y,N,N,N,58.00,,N,,N,,N,,,1,,,,Y
M7VDGVEUW2CKL46JALLVKZG7,Blushing Agave Body Oil,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,N,N,Y,36.00,,N,,N,,N,,,4,,Y,3,Y
DHGQAXD6Y7VHI25DDLVDCLZT,Body Brush,Regular,,,Bashful Beauty,Bashful Beauty,,,,,unavailable,Physical good,,,,Y,N,N,N,8.00,,N,,N,,N,,,-4,,Y,3,Y
V4EYRNV4FNERAG2TVB7RHBKW,Bourbon Bubbler Scrub,Regular,,,Farm House Fresh,Farm House Fresh,,,,,,Physical good,,,,Y,,N,Y,36.00,,N,,,,N,,,1,,Y,3,Y
34UXJ7REP3TNNLAMIJAC5KOX,Box Naturals CUCUMBER,Regular,,,Box Naturals,Box Naturals,,,,,visible,Physical good,,,,Y,N,N,Y,12.50,,N,,N,,N,,,9,,Y,5,Y
P3OK7DMC745FTEVC2RS7DIHO,Box Naturals LAVENDER,Regular,,,Box Naturals,Box Naturals,,,,,visible,Physical good,,,,Y,N,N,Y,12.50,,N,,,,N,,,5,,Y,5,Y
AIMUGZR5CTYVRWCAC3RVMSTF,Box Naturals ROSE,Regular,,,Box Naturals,Box Naturals,,,,,visible,Physical good,,,,Y,N,N,Y,12.50,,N,,N,,N,,,4,,Y,5,Y
TJJOYIQDGIR2SDYP7GPE6ER6,Brandy Pear Polish,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,,N,Y,36.00,,N,,,,N,,,1,,Y,3,Y
E45BT3H5JSJK4I7EERORNT6N,Bright White Serum,Regular,,,Circadia,Circadia,,,,,visible,Physical good,,,,Y,,N,Y,57.00,,N,,,,N,,,4,,Y,4,Y
4X6ZZLTDG4BUXK4JLGIBCCPH,Bronze Fox Tanning Drops,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,N,N,Y,39.00,,N,,,,N,,,3,,Y,1,Y
YNA2VE6MMD57HCU74UCXVVEC,Brow & Lash Cleanser,Regular,,,Beautiful Brows& Lashes,Beautiful Brows& Lashes,,,,,unavailable,Physical good,,,,Y,N,N,N,12.00,,N,,,,N,,,0,,Y,3,Y
FDJQ56R42AL4MV6GB3BAJG4I,Brow 2 in 1 Tinted Serum DARK BROWN,Regular,,,Grande,Grande,,,,,unavailable,Physical good,,,,Y,,,,38.00,,N,,,,N,,,10,,Y,3,Y
TOS3DPNUEXLGK3ALHZMGUOU7,Brow Brush,Regular,,,Bashful Beauty,Bashful Beauty,,,,,visible,Physical good,,,,Y,,,Y,8.00,,N,,,,N,,,,,,,Y
FH3GJKDFVUUNXIHC4VMPAH42,BryghtenUp Kit Duo,Regular,,"This targeted fast-acting duo is designed to work together to correct uneven skin tone, discoloration, and diminish the appearance of hyperpigmentation. Can be used anywhere externally on the body including intimate and delicate areas without disturbing the natural ph.
All-natural, cruelty-free vegan ingredients that contain no: silicones, parabens, hydroquinone, mercury, fragrance, or colorants.",Skin Lightening,Skin Lightening,,,,,,Physical good,,,,Y,,N,N,125.00,,N,,,,N,,,4,,Y,4,Y
C2WG2U23YSBOVTFSORQFPLQT,Bunny Kisses Shea Butter,Regular,,,Farm House Fresh,Farm House Fresh,,,,,,Physical good,,,,Y,,,,32.00,,N,,,,N,,,0,,Y,1,Y
JKAX7PQMO7DKQZJYLHVV5XYD,Butter Rum Body Scrub,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,,,Y,36.00,,N,,,,N,,,,,,,Y
5VPFDO6ERUQO7PPPXFEIAKVC,Buttermilk Lavender Body Lotion,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,,,Y,34.00,,N,,,,N,,,,,,,Y
QSF4DQ6RLEEK4ZX65E56XIGQ,C The Future Foaming Cleanser,Regular,,"This citrusy plant-based cleanser whips up with vitamin C and glycolic acid − exfoliating, smoothing and brightening the look of your skin. Gentle and nourishing enough for daily use.",Farm House Fresh,Farm House Fresh,,,,,unavailable,Physical good,,,,Y,N,N,N,36.00,,N,,N,,N,,,3,,,,Y
PZE5WHYGTAWQIQWVVPYLY63G,CBD Circadia Calm Soothing Facial Cream,Regular,,,Circadia,Circadia,,,,,visible,Physical good,,,,Y,,,Y,50.00,,N,,,,N,,,0,,Y,4,Y
3ADLM6A4UK67ECQC3X6WBK5L,CBD Massage Cream,Regular,,,Circadia,Circadia,,,,,visible,Physical good,,,,Y,,,Y,50.00,,N,,,,N,,,2,,Y,0,Y
Z65GZBTDHRZTM4JDLIBXC3XL,CBD Massage Cream travel size,Regular,,,Travel Sizes,Travel Sizes,,,,,visible,Physical good,,,,Y,,,Y,5.00,,N,,,,N,,,,,,,Y
P5V2EDNYOR5SPBDYQTVO6IC3,CBD Pretty Amped,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,,N,Y,58.00,,N,,N,,N,,,0,,Y,3,Y
4WJ37VZZS3LXPLECK7KBGCIU,CBD Purium,Regular,,,Purium,Purium,,,,,visible,Physical good,,,,Y,,,Y,120.00,,N,,,,N,,,,,,,Y
PYNSZ6NG74WMRV3Q6MQNREDB,CBD Supremely Lit,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,,,Y,59.00,,N,,,,N,,,,,,,Y
PMTQ5U2I6COX44HUNW3U4ZBI,CBD Swell Being Body Oil,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,N,N,Y,48.00,,N,,,,N,,,0,,Y,3,Y
BZ54C3EVJW7Y76H45MMYJYNQ,Chrono-Calm,Regular,,,Circadia,Circadia,,,,,visible,Physical good,,,,Y,N,N,Y,42.00,,N,,N,,N,,,4,,Y,4,Y
VULTYSKZIMCODC3QW5WQRTJZ,Circa-Shield - Mineral Sunscreen,Regular,,,Circadia,Circadia,,,,,unavailable,Physical good,,,,Y,N,N,N,55.50,,N,,,,N,,,5,,Y,4,Y
4XBNYQD7JKDM63PZBAVWB3YJ,Circadia Beard Brush/Comb,Regular,,,Circadia,Circadia,,,,,unavailable,Physical good,,,,Y,,N,N,22.00,,N,,,,N,,,13,,,,Y
5OFDRBJ4CXY236VXS2BWDU4I,Circadia Facial Kit SHIPPING,Regular,,,Shipping,Shipping,,,,,visible,Physical good,,,,Y,,,Y,8.00,,N,,,,N,,,,,,,N
66GXSHMUJ2IJOMRNZFOL2R4C,Circadia Gua Sha Stone,Regular,,"Blue Aventurine Gua Sha Stone w/Circadia Logo packaged in a white magnetic box helps to relieve tension, sculpt skin, and increase circulation.",Circadia,Circadia,,,,,unavailable,Physical good,,,,Y,,N,N,30.00,,N,,,,N,,,8,,Y,2,Y
JOYX7X6VI4I7EP37OQZQ6NSZ,Citrine Beach Soap,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,,N,Y,12.50,,N,,,,N,,,,,,,Y
67JMF3UKI4ARGOZCPVVEX4N4,Citrus Cilantro Oil,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,N,N,Y,31.00,,N,,N,,N,,,3,,N,3,Y
RIJWROA7AMHH3WASEOJD65RP,Cleansing Gel w/ Salicylic Acid,Regular,,,Circadia,Circadia,,,,,visible,Physical good,,,,Y,N,N,Y,41.00,,N,,N,,N,,,5,,Y,4,Y
MJ3ACRQXGXHMS6INXZ2OWHQK,Cleansing Gel with Mandelic Acid,Regular,,"An active foaming cleanser that brightens and exfoliates while targeting pigmentation, acne, and aging skin. Our powerful alpha-hydroxy-acid and antibacterial properties make the Cleansing Gel with Mandelic Acid the perfect solution for nearly all skin types.",Circadia,Circadia,,,,,unavailable,Physical good,,,,Y,N,N,N,41.00,,N,,N,,N,,,16,,,,Y
DGPJLE7HV4VOSEGWGBQM3QBJ,Clear Water Tanning Mousse Med-Dark,Regular,,,Nuda,Nuda,,,,,unavailable,Physical good,,,,Y,,,,45.00,,N,,,,N,,,3,,Y,1,Y
K6LXLOMY7CSNKGXZ3SCZDFRE,Clementine  Body Oil,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,N,N,Y,31.00,,N,,N,,N,,,5,,Y,3,Y
24YTJFFQ26LYFKXNMCOGBFJG,Cloud Cake Shea Butter Lotion,Regular,,,Farm House Fresh,Farm House Fresh,,,,,unavailable,Physical good,,,,Y,,N,N,32.00,,N,,,,N,,,5,,,,Y
GFJETKJWBYYY6YLXNFUBBMYS,Coconut Beach Lip Balm,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,,,Y,15.50,,N,,,,N,,,,,N,3,Y
HMLIJE6KO73A2AQQU2IGEDJL,Coconut Cream Bar Soap,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,,N,Y,12.50,,N,,,,N,,,,,,,Y
UBMM3LPXTZMD3JWWST7EWRGV,Coconut Cream Bath Soak,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,,N,Y,31.00,,N,,,,N,,,,,,,Y
IEBE7I7BEE7OPY73MBWQU3ZS,ConditionHer,Regular,,,ConditionHer,ConditionHer,,,,,unavailable,Physical good,,,,Y,,N,N,30.50,,N,,,,N,,,7,,Y,4,Y
24WNEVGFATXLIHN25QGDE3AA,Cool Revival Body Balm,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,,,Y,44.00,,N,,,,N,,,0,,Y,1,Y
GLZ7VSS7OTBUJ5CJ6KTZ3HNS,Counter A.G.E.,Regular,,,Circadia,Circadia,,,,,visible,Physical good,,,,Y,,,Y,50.00,,N,,,,N,,,3,,Y,1,Y
UYMOWOQRGR5TY7LRPGBTSLO2,Custom Gratuity,Regular,,A way for clients to leave gratuity on $0 amounts,custom tip,custom tip,,,,,unavailable,Physical good,,,,Y,,N,N,0.01,,N,,,,N,,,,,,,N
3OZLRS6BK3FG7JAPLPWHX2TJ,Cyto-Comm,Regular,,,Circadia,Circadia,,,,,visible,Physical good,,,,Y,N,N,Y,50.00,,N,,,,N,,,15,,Y,4,Y
E6KJUZBKVLF7LG2JUTW47YTB,Daytime Control,Regular,,,Circadia,Circadia,,,,,visible,Physical good,,,,Y,N,N,Y,46.00,,N,,,,N,,,7,,Y,4,Y
AXIBQKMFR7A6KLPGXQ6OL7X7,Dew Ritual Body Oil,Regular,,"Dew Ritual™ body oil unleashes an opulent cocktail of plant antioxidants to revitalize the body – infused with soft floral notes from pure blue tansy essential oil. Pure blue tansy blends with marula, borage, jojoba, and bakuchiol for a luxurious herbal body treatment that visibly quenches and transforms skin.",Farm House Fresh,Farm House Fresh,,,,,unavailable,Physical good,,,,Y,N,N,N,39.00,,N,,N,,N,,,2,,,,Y
WCGW5SIQVXNC5KS3QFTEY62C,Double Team Tinted Lip Lotion,Pink 182,,,Alleyoop,Alleyoop,,,,,unavailable,Physical good,,,,Y,,,,14.00,,N,,,,N,,,0,,Y,3,Y
C4NXTND4Z62IQL5DUNU7QSFJ,Double Team Tinted Lip Lotion,Fresh Squeeze,,,Alleyoop,Alleyoop,,,,,unavailable,Physical good,,,,,,,,14.00,,N,,,,N,,,3,,Y,3,Y
QCABRVQA2KRW4N3LJ54EQZSM,Double Team Tinted Lip Lotion,Hot Take,,,Alleyoop,Alleyoop,,,,,unavailable,Physical good,,,,,,,,14.00,,N,,,,N,,,3,,Y,3,Y
5CKVELOFDJ4OOH4DCPBOIIHI,Double Team Tinted Lip Lotion,Brick-me-up,,,Alleyoop,Alleyoop,,,,,unavailable,Physical good,,,,,,,,14.00,,N,,,,N,,,0,,Y,3,Y
OFCXMW2I7IDQEFU3LSQRUSBN,Duo Brow & Lash Conditioner,Regular,,,Beautiful Brows& Lashes,Beautiful Brows& Lashes,,,,,unavailable,Physical good,,,,Y,N,N,N,33.00,,N,,N,,N,,,4,,Y,6,Y
H4S7NLQJQKRVMMCBGIXGC3A2,Duo Castor Oil,Regular,,"<p><strong>to keep your brows and lashes nourished, conditioned and hydrated</strong></p><p><br></p>",Beautiful Brows& Lashes,Beautiful Brows& Lashes,,,,,unavailable,Physical good,,,,Y,N,N,N,18.00,,N,,,,N,,,0,,Y,2,Y
Q7AYBCTEUUWZQITONGDYN4OZ,Elevated Shade Sunscreen,Regular,,,Farm House Fresh,Farm House Fresh,,,,,,Physical good,,,,Y,,,,39.00,,N,,,,N,,,1,,Y,3,Y
RP5A64MRR6TS2LST6ZRG5RYQ,Emergency Eye Lift,Regular,,,Circadia,Circadia,,,,,visible,Physical good,,,,Y,N,N,Y,50.00,,N,,,,N,,,6,,Y,4,Y
TWW4FCFYJI66XLCUEOQZ3S54,Enrich Mint Foot Mask,Regular,,,Farm House Fresh,Farm House Fresh,,,,,unavailable,Physical good,,,,Y,N,N,N,34.00,,N,,N,,N,,,3,,,,Y
I4QFZRNJKX7ZNAE7KJS3JCS3,Evening Calm Tea,Regular,,,Bashful Beauty,Bashful Beauty,,,,,visible,Physical good,,,,Y,,,Y,8.25,,N,,,,N,,,,,,,Y
F4OOKXOBCVS3SRKBJVODXJGS,Exfoliating Gloves,Regular,,,Bashful Beauty,Bashful Beauty,,,,,visible,Physical good,,,,Y,,,Y,5.00,,N,,,,N,,,,,,,Y
TEVSEPBDDQ22OJ2DT62CEKLQ,Eyedeal Lid Lift,Regular,,,Dermastart Brands,Dermastart Brands,,,,,unavailable,Physical good,,,,Y,N,N,N,25.00,,N,,,,N,,,0,,Y,2,Y
WYWWOBVVTG4DC7QKEIEZMSUU,Facial Buffing Mask,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,,,Y,12.50,,N,,,,N,,,0,,Y,1,Y
DLIRDBGAXE4MRZNVPAOYZLF6,Fast Fix Face Mask Sampler,Regular,,,Farm House Fresh,Farm House Fresh,,,,,,Physical good,,,,Y,,,,28.00,,N,,,,N,,,0,,,,Y
5HK2GBAIBJXAP23OMQPQROGZ,Finely Awake PlantFoliant Face Cleansing Polish,Regular,,"Reveal your silky softness. This refreshing botanical daily exfoliating cleanser is made with 5 unique plantfoliants® that gently smooth and refine (bamboo silica, pumice, apricot powder, bentonite clay & polylactic acid from corn). The blend of medium-sized grains leaves silky smoothness behind with fresh all natural herbal mint-eucalyptus notes that wake you up each morning!",Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,N,N,Y,38.50,,N,,N,,N,,,6,,Y,2,Y
